Well,490:490
A1,0.04
B1,0.039
C1,0.041
D1,0.043
E1,0.045
F1,0.046
G1,0.045
H1,0.045
A2,0.04
B2,0.039
C2,0.041
D2,0.045
E2,0.047
F2,0.046
G2,0.045
H2,0.046
A3,0.039
B3,0.04
C3,0.041
D3,0.043
E3,0.045
F3,0.046
G3,0.045
H3,0.046
A4,0.042
B4,0.041
C4,0.072
D4,0.05
E4,0.046
F4,0.046
G4,0.046
H4,0.046
A5,0.04
B5,0.041
C5,0.043
D5,0.045
E5,0.045
F5,0.045
G5,0.047
H5,0.046
A6,0.04
B6,0.04
C6,0.043
D6,0.045
E6,0.046
F6,0.045
G6,0.046
H6,0.046
A7,0.04
B7,0.04
C7,0.043
D7,0.045
E7,0.046
F7,0.045
G7,0.046
H7,0.045
A8,0.039
B8,0.04
C8,0.042
D8,0.045
E8,0.046
F8,0.045
G8,0.047
H8,0.047
A9,0.04
B9,0.043
C9,0.043
D9,0.046
E9,0.045
F9,0.046
G9,0.046
H9,0.045
A10,0.04
B10,0.044
C10,0.042
D10,0.045
E10,0.046
F10,0.046
G10,0.045
H10,0.047
A11,0.039
B11,0.043
C11,0.054
D11,0.045
E11,0.05
F11,0.045
G11,0.045
H11,0.045
A12,0.04
B12,0.049
C12,0.04
D12,0.045
E12,0.045
F12,0.046
G12,0.045
H12,0.045
