Date,Reagent.Date,Run,Type,Well,ID
20191104,20191104,1,Standard,A1,A
20191104,20191104,1,Standard,A2,A
20191104,20191104,1,Standard,A3,B
20191104,20191104,1,Standard,A4,B
20191104,20191104,1,Standard,A5,C
20191104,20191104,1,Standard,A6,C
20191104,20191104,1,Standard,A7,D
20191104,20191104,1,Standard,A8,D
20191104,20191104,1,Standard,A9,E
20191104,20191104,1,Standard,A10,E
20191104,20191104,1,Standard,A11,F
20191104,20191104,1,Standard,A12,F
20191104,20191104,1,Standard,B1,G
20191104,20191104,1,Standard,B2,G
20191104,20191104,1,Standard,B3,H
20191104,20191104,1,Standard,B4,H
20191104,20191104,1,Standard,B5,I
20191104,20191104,1,Standard,B6,I
20191104,20191104,1,,B7,1013
20191104,20191104,1,,B8,1013
20191104,20191104,1,,B9,1253
20191104,20191104,1,,B10,1253
20191104,20191104,1,,B11,209
20191104,20191104,1,,B12,209
20191104,20191104,1,,C1,357
20191104,20191104,1,,C2,357
20191104,20191104,1,,C3,1605
20191104,20191104,1,,C4,1605
20191104,20191104,1,,C5,1528
20191104,20191104,1,,C6,1528
20191104,20191104,1,,C7,221
20191104,20191104,1,,C8,221
20191104,20191104,1,,C9,965
20191104,20191104,1,,C10,965
20191104,20191104,1,,C11,1447
20191104,20191104,1,,C12,1447
20191104,20191104,1,,D1,37
20191104,20191104,1,,D2,37
20191104,20191104,1,,D3,217
20191104,20191104,1,,D4,217
20191104,20191104,1,,D5,65
20191104,20191104,1,,D6,65
20191104,20191104,1,,D7,45
20191104,20191104,1,,D8,45
20191104,20191104,1,,D9,177
20191104,20191104,1,,D10,177
20191104,20191104,1,,D11,73
20191104,20191104,1,,D12,73
20191104,20191104,1,,E1,41
20191104,20191104,1,,E2,41
20191104,20191104,1,,E3,1377
20191104,20191104,1,,E4,1377
20191104,20191104,1,,E5,997
20191104,20191104,1,,E6,997
20191104,20191104,1,,E7,913
20191104,20191104,1,,E8,913
20191104,20191104,1,,E9,1409
20191104,20191104,1,,E10,1409
20191104,20191104,1,,E11,1361
20191104,20191104,1,,E12,1361
20191104,20191104,1,,F1,1488
20191104,20191104,1,,F2,1488
20191104,20191104,1,,F3,873
20191104,20191104,1,,F4,873
20191104,20191104,1,,F5,1552
20191104,20191104,1,,F6,1552
20191104,20191104,1,,F7,329
20191104,20191104,1,,F8,329
20191104,20191104,1,,F9,345
20191104,20191104,1,,F10,345
20191104,20191104,1,,F11,189
20191104,20191104,1,,F12,189
20191104,20191104,1,,G1,1612
20191104,20191104,1,,G2,1612
20191104,20191104,1,,G3,69
20191104,20191104,1,,G4,69
20191104,20191104,1,,G5,201
20191104,20191104,1,,G6,201
20191104,20191104,1,,G7,33
20191104,20191104,1,,G8,33
20191104,20191104,1,,G9,1608
20191104,20191104,1,,G10,1608
20191104,20191104,1,,G11,1429
20191104,20191104,1,,G12,1429
20191104,20191104,1,,H1,1201
20191104,20191104,1,,H2,1201
20191104,20191104,1,,H3,1321
20191104,20191104,1,,H4,1321
20191104,20191104,1,,H5,1129
20191104,20191104,1,,H6,1129
20191104,20191104,1,,H7,1197
20191104,20191104,1,,H8,1197
20191104,20191104,1,,H9,1073
