Measurement Name :,20190723_resp_1_pre,,Generated On :,"23/07/2019, 16:53:53",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION
Serial number     : SEBX0007000710      
MUX channel       : ON - 01

PARAMETERS
Sig LED current   : 040
Ref LED current   : 075
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m01:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
23.07.19 16:21:50,0.3,147.2,239.28,187.45,189.28,245.1,160.18,170.84,175.14,171.2,240.44,180.55,183.45,245.1,150.69,137.85,161.24,138.89,178.75,191.84,150.69,186.72,220.15,187.45,178.75,,18,968,29,18.18,
23.07.19 16:22:05,0.55,146.5,239.28,182.36,187.82,243.94,158.76,169.41,173.35,170.13,240.44,179.83,182.73,245.1,145.11,136.82,160.18,137.51,178.39,190.74,151.39,185.27,218.63,186,177.66,,18,968,29,18.2,
23.07.19 16:22:20,0.8,145.46,239.67,178.75,186.36,243.94,157.71,167.63,172.63,169.77,240.06,179.83,182.36,245.1,144.07,136.82,158.41,135.79,177.66,189.64,151.04,183.09,217.5,184.54,176.58,,18,968,29,18.22,
23.07.19 16:22:35,1.05,145.11,239.67,177.66,184.9,245.1,156.65,166.2,171.91,169.77,240.06,179.11,182,245.1,143.03,135.79,157.71,134.42,177.3,188.91,150.69,182,216.37,183.09,176.22,,18,968,29,18.25,
23.07.19 16:22:50,1.3,145.11,238.89,177.66,184.54,243.94,155.95,165.14,170.48,169.41,240.06,179.47,181.28,245.1,141.99,134.42,157,133.05,176.94,188.55,150.34,182.36,214.49,182,175.5,,18,968,29,18.25,
23.07.19 16:23:05,1.55,144.07,239.28,176.58,183.45,244.33,154.89,163.36,169.05,169.77,239.67,179.47,180.55,245.1,141.99,133.73,155.59,131.34,176.94,187.09,149.99,182,212.23,180.19,175.14,,18,968,29,18.27,
23.07.19 16:23:20,1.8,144.42,238.51,175.14,182.36,243.94,154.54,162.65,167.27,169.05,239.67,179.47,179.47,244.72,143.38,132.02,154.19,129.63,175.86,186,148.94,181.28,209.98,178.02,174.07,,18,968,29,18.29,
23.07.19 16:23:35,2.05,143.73,238.89,173.35,181.28,243.94,154.19,160.88,165.85,169.41,239.28,179.47,178.02,244.33,143.73,129.97,152.79,129.63,175.14,184.9,148.59,179.83,207,175.14,173.35,,18,968,29,18.3,
23.07.19 16:23:50,2.3,144.07,238.12,172.27,180.55,242.77,153.84,160.18,164.07,169.41,239.28,179.47,176.94,243.94,144.07,127.58,150.69,129.29,174.43,184.18,147.9,179.47,204.76,172.99,172.99,,18,968,29,18.32,
23.07.19 16:24:05,2.55,142.69,238.51,170.84,179.83,242.77,153.49,159.12,164.07,168.34,238.51,178.02,175.86,243.94,144.77,125.55,150.34,128.61,174.07,183.45,147.55,178.02,202.16,170.48,172.63,,18,968,29,18.34,
23.07.19 16:24:20,2.8,143.03,238.51,169.77,178.75,242.38,153.49,158.06,164.43,167.98,238.89,178.02,175.86,243.55,145.46,124.19,148.24,126.9,173.35,182.73,147.9,177.66,200.31,168.34,171.91,,18,968,29,18.36,
23.07.19 16:24:35,3.05,141.65,237.74,168.34,176.94,243.16,152.79,157,163.36,167.98,238.51,178.39,175.86,243.16,145.11,122.83,146.5,125.88,171.91,182.36,146.5,176.22,198.83,167.27,170.84,,18,968,29,18.36,
23.07.19 16:24:50,3.3,140.27,237.74,165.85,176.22,243.16,152.79,156.3,163.01,167.63,237.74,178.02,175.14,242.77,144.07,121.14,145.46,124.53,171.56,182,146.16,174.78,197.72,165.14,170.48,,18,968,29,18.38,
23.07.19 16:25:05,3.55,138.2,238.51,161.94,176.22,242.38,152.79,155.59,162.3,167.27,238.12,177.66,174.43,243.16,143.38,119.79,145.81,123.51,170.48,181.64,145.46,173.35,196.25,165.14,170.13,,18,968,29,18.39,
23.07.19 16:25:20,3.8,136.13,238.12,160.18,175.14,242.38,152.79,154.54,161.59,166.56,238.51,176.94,174.07,242.38,142.69,118.45,145.11,123.85,170.13,181.64,144.42,172.63,192.57,164.07,169.41,,18,968,29,18.39,
23.07.19 16:25:35,4.05,133.73,238.12,159.82,173.35,241.99,152.44,154.19,161.24,166.91,238.51,176.58,173.71,241.99,142.34,117.44,146.16,123.51,169.77,181.28,143.73,171.2,190.01,163.36,169.05,,18,968,29,18.4,
23.07.19 16:25:50,4.3,131.68,238.51,159.12,171.2,241.99,152.09,153.84,160.88,166.56,238.12,176.94,172.63,241.99,141.65,116.09,147.9,123.51,169.05,180.91,142.34,171.2,186.72,162.65,168.34,,18,968,29,18.43,
23.07.19 16:26:05,4.55,130.65,238.12,158.06,170.13,241.99,151.74,152.79,160.18,166.91,238.12,176.94,172.27,241.61,141.99,116.09,149.64,123.51,167.63,180.55,141.65,170.13,184.9,161.24,167.63,,18,968,29,18.43,
23.07.19 16:26:20,4.8,130.99,237.35,156.3,169.05,242.77,152.09,151.74,160.18,167.27,238.12,176.58,171.56,241.61,141.65,114.75,152.09,122.83,166.91,180.19,140.61,170.13,184.18,161.24,166.56,,18,968,29,18.45,
23.07.19 16:26:35,5.05,132.36,237.74,155.95,167.98,241.61,151.74,151.04,159.12,166.91,238.12,176.22,170.84,241.22,140.96,113.75,153.14,122.16,166.2,180.19,139.58,170.13,183.45,160.53,166.2,,18,968,29,18.45,
23.07.19 16:26:50,5.3,132.02,238.12,154.89,166.56,241.61,151.39,150.34,157.35,166.56,237.74,175.5,170.13,241.22,140.27,112.41,154.19,120.81,164.78,179.47,138.89,169.77,183.45,159.82,165.14,,18,968,29,18.45,
23.07.19 16:27:05,5.55,132.02,237.35,153.84,165.85,241.99,149.99,149.29,156.65,165.14,237.74,174.78,170.13,241.22,138.89,110.74,155.24,120.13,164.43,179.47,137.85,169.41,183.45,159.82,164.78,,18,968,29,18.47,
23.07.19 16:27:21,5.82,132.02,237.74,153.14,163.72,240.44,149.99,148.59,154.89,164.07,237.35,174.78,168.7,240.44,137.85,109.74,156.3,119.79,163.36,179.11,137.16,168.7,182.73,159.12,163.36,,18,968,29,18.47,
23.07.19 16:27:36,6.07,133.73,237.74,151.74,163.01,241.22,149.29,147.9,153.49,163.36,236.96,174.43,167.27,240.83,138.2,109.07,156.65,119.46,162.3,178.75,136.48,169.05,182.36,158.41,161.94,,18,968,29,18.48,
23.07.19 16:27:51,6.32,132.36,237.35,150.69,161.24,240.06,148.24,146.85,151.74,163.01,237.35,174.07,165.85,240.44,138.54,108.41,156.3,119.46,162.3,177.3,134.76,168.34,181.64,157.71,160.88,,18,968,29,18.48,
23.07.19 16:28:06,6.57,131.34,238.12,149.64,160.88,240.83,147.2,146.5,149.99,161.94,236.96,174.07,164.43,240.06,136.82,107.08,156.65,118.78,161.59,176.58,134.07,167.27,180.55,158.06,159.47,,18,968,29,18.5,
23.07.19 16:28:21,6.82,132.02,237.35,149.64,159.82,239.67,146.5,145.81,148.94,161.94,237.35,174.43,163.01,239.67,135.45,106.41,156.3,118.78,161.59,176.22,133.39,166.91,179.47,158.06,158.41,,18,968,29,18.5,
23.07.19 16:28:36,7.07,130.31,237.74,149.64,159.47,240.44,145.46,144.77,148.24,162.3,236.96,172.99,162.65,239.67,133.73,105.42,157,118.78,160.88,175.86,132.7,166.56,178.02,158.06,158.06,,18,968,29,18.5,
23.07.19 16:28:51,7.32,127.92,237.35,149.64,158.76,240.83,144.42,144.07,146.85,161.59,237.35,172.27,161.94,239.28,132.02,104.75,156.65,118.11,160.88,175.14,132.02,166.2,176.58,158.06,157,,18,968,29,18.5,
23.07.19 16:29:06,7.57,125.88,237.35,149.64,157.71,240.83,143.38,143.03,145.11,161.59,236.96,172.27,161.24,239.28,130.31,104.09,156.3,118.11,160.18,174.78,130.65,166.56,175.86,159.12,156.3,,18,968,29,18.52,
23.07.19 16:29:21,7.82,122.83,237.35,149.29,157,240.44,142.34,141.3,144.42,161.59,236.96,172.63,161.59,238.89,128.95,103.43,155.59,117.77,160.18,174.07,130.31,165.14,175.14,158.41,155.59,,18,968,29,18.52,
23.07.19 16:29:36,8.07,118.78,237.35,148.59,155.95,240.83,141.65,139.92,143.38,160.18,236.96,172.63,160.88,239.28,127.92,102.44,155.24,117.44,159.12,172.99,129.97,165.85,174.43,158.76,154.89,,18,968,29,18.52,
23.07.19 16:29:51,8.32,117.44,237.35,148.24,154.54,240.06,139.92,138.54,142.34,159.82,236.19,172.27,160.88,238.12,126.9,101.12,156.3,117.44,158.76,172.63,128.27,165.14,174.43,158.76,153.49,,18,968,29,18.54,
23.07.19 16:30:06,8.57,117.77,237.74,147.9,154.89,239.67,139.23,137.85,141.99,159.47,236.96,171.56,160.53,238.51,127.58,100.46,155.24,117.1,158.76,173.35,127.58,165.49,174.43,159.12,152.09,,18,968,29,18.54,
23.07.19 16:30:21,8.82,116.09,237.35,147.55,153.49,239.28,137.85,135.79,141.3,158.41,236.58,170.13,160.18,238.12,127.24,100.13,154.54,116.43,157.71,172.63,126.56,165.14,173.71,158.41,150.34,,18,968,29,18.54,
23.07.19 16:30:36,9.07,114.08,237.74,146.5,151.74,240.06,136.48,134.07,140.27,157.35,236.58,168.7,159.47,238.12,127.24,100.13,153.84,116.09,157.71,171.91,126.22,164.07,173.35,158.41,150.34,,18,968,29,18.55,
23.07.19 16:30:51,9.32,113.75,236.96,145.81,151.39,238.89,135.1,132.7,139.58,156.3,235.81,167.98,159.12,237.35,127.24,99.8,153.14,115.42,157,171.2,126.22,163.36,172.63,158.06,149.29,,18,968,29,18.55,
23.07.19 16:31:06,9.57,113.08,236.19,144.77,149.99,238.51,133.39,131.68,138.89,156.65,236.19,166.56,158.06,236.96,127.24,97.82,152.44,114.75,157,170.84,125.21,162.3,171.91,157,148.94,,18,968,29,18.55,
23.07.19 16:31:21,9.82,112.74,237.35,144.77,149.29,238.89,133.05,130.99,138.89,155.95,236.19,165.85,158.06,237.35,127.58,97.17,152.09,114.08,157.35,170.48,125.21,161.94,171.91,157.71,148.24,,18,968,29,18.57,
23.07.19 16:31:36,10.07,113.75,236.58,143.73,149.29,238.51,131.34,130.65,138.54,155.95,236.19,162.65,157,236.58,127.58,96.18,150.69,113.41,157.35,169.77,124.53,161.24,171.91,157.35,147.9,,18,968,29,18.57,
23.07.19 16:31:51,10.32,113.08,236.96,143.03,149.29,238.51,130.31,129.63,137.16,156.65,235.81,160.53,156.65,236.96,127.24,95.85,150.34,113.08,157.35,170.48,124.19,160.88,171.56,157,147.2,,18,968,29,18.57,
23.07.19 16:32:07,10.58,112.74,236.96,142.34,148.24,238.89,129.29,128.95,136.48,157,235.81,158.76,155.95,236.96,127.24,95.2,149.29,112.41,157,170.13,123.17,160.53,170.84,156.3,146.5,,18,968,29,18.57,
23.07.19 16:32:22,10.83,112.41,236.58,141.99,147.55,238.12,127.92,128.27,135.45,156.65,236.19,156.65,154.89,236.96,126.56,96.18,147.2,111.74,156.65,169.77,122.5,159.12,170.48,155.95,146.16,,18,968,29,18.57,
23.07.19 16:32:37,11.08,111.74,236.58,141.3,146.5,237.74,126.9,127.24,134.07,157.35,235.81,153.84,153.84,236.58,126.9,96.18,146.85,111.07,155.95,169.05,121.48,157,170.13,155.24,145.46,,18,968,29,18.59,
23.07.19 16:32:52,11.33,112.41,236.58,140.27,144.77,238.89,125.55,126.22,133.05,157,235.81,153.49,153.49,236.96,127.24,95.2,145.81,110.74,155.95,169.41,120.81,155.95,169.41,154.89,144.77,,18,968,29,18.59,
23.07.19 16:33:07,11.58,111.07,236.96,139.92,144.07,238.89,124.53,124.87,132.02,157.71,235.81,152.79,152.79,236.58,128.27,94.22,145.11,109.74,155.95,169.77,120.47,154.89,168.7,154.54,143.73,,18,968,29,18.59,
23.07.19 16:33:22,11.83,110.4,236.96,139.58,142.69,237.74,122.83,123.85,130.99,158.06,236.19,152.79,152.09,236.19,127.58,92.58,143.38,108.74,154.89,169.05,119.79,153.14,166.91,153.84,143.38,,18,968,29,18.59,
23.07.19 16:33:37,12.08,110.4,236.19,138.89,140.96,238.12,121.82,123.17,129.97,157.71,235.81,151.39,151.74,236.19,127.92,91.93,143.03,107.74,154.54,168.34,119.12,151.04,166.2,153.84,142.69,,18,968,29,18.59,
23.07.19 16:33:52,12.33,110.4,236.96,138.2,139.92,238.51,121.48,122.16,129.63,157,235.81,149.64,151.39,236.58,127.58,90.62,142.34,106.74,154.54,168.34,117.77,151.74,165.49,154.19,141.99,,18,968,29,18.59,
23.07.19 16:34:07,12.58,109.74,236.96,137.51,139.58,238.51,120.81,120.81,128.95,157,235.81,148.94,149.99,235.81,126.9,89.32,140.96,106.08,154.19,167.98,117.77,152.44,164.43,153.49,140.27,,18,968,29,18.61,
23.07.19 16:34:22,12.83,109.4,236.19,136.82,138.54,238.89,120.47,120.47,127.92,157.71,235.81,148.59,148.94,236.19,125.55,88.34,140.27,105.75,152.79,167.63,115.09,151.39,164.07,152.79,140.27,,18,968,29,18.61,
23.07.19 16:34:37,13.08,109.4,236.58,136.48,136.82,238.89,120.47,119.46,127.24,157,235.81,148.59,148.59,235.81,125.55,86.72,138.89,105.08,152.09,166.56,113.75,151.39,163.36,152.09,139.23,,18,968,29,18.63,
23.07.19 16:34:52,13.33,108.07,236.96,135.79,135.45,238.12,119.79,118.78,126.56,156.3,235.81,148.24,147.9,235.81,125.88,86.4,137.85,104.42,151.04,166.2,112.41,148.94,163.01,151.74,138.54,,18,968,29,18.61,
23.07.19 16:35:07,13.58,107.08,236.58,135.45,133.73,238.51,118.78,117.77,125.55,155.95,235.42,147.9,146.16,235.42,125.55,85.1,136.48,103.43,149.99,164.78,111.74,146.85,162.3,151.39,137.85,,18,968,29,18.61,
23.07.19 16:35:22,13.83,106.74,236.19,135.45,133.39,237.35,118.78,116.76,124.87,155.24,235.04,148.24,144.77,235.81,124.53,83.48,136.13,102.77,149.64,164.78,111.74,149.29,161.94,151.39,137.51,,18,968,29,18.61,
23.07.19 16:35:37,14.08,105.75,236.19,134.76,130.99,237.35,117.44,115.09,123.17,155.59,235.42,147.9,143.03,235.81,123.85,81.87,135.79,102.11,148.94,164.43,111.07,148.59,161.24,151.04,136.48,,18,968,29,18.63,
23.07.19 16:35:52,14.33,103.76,236.58,134.07,130.99,237.35,116.76,114.08,122.5,154.19,235.42,148.24,141.65,235.04,122.5,79.29,135.45,101.45,148.59,163.72,110.74,145.81,160.88,150.69,135.45,,18,968,29,18.63,
23.07.19 16:36:07,14.58,102.44,236.58,133.39,129.97,238.51,116.09,112.07,121.82,154.54,235.81,148.24,140.61,235.04,121.14,78.01,135.1,100.46,148.24,164.07,111.07,146.16,160.53,150.69,134.76,,18,968,29,18.63,
23.07.19 16:36:22,14.83,101.12,235.81,132.02,128.95,237.74,114.75,109.4,120.47,152.79,235.04,147.55,139.23,234.65,119.79,75.76,134.42,99.14,147.2,162.65,110.74,148.59,159.47,149.29,133.73,,18,968,29,18.63,
23.07.19 16:36:37,15.08,101.12,236.58,131.68,128.27,237.74,114.08,107.74,119.79,153.14,235.81,147.55,137.51,235.04,118.78,76.4,134.76,98.15,147.2,162.65,110.4,145.46,159.82,149.64,133.73,,18,968,29,18.63,
23.07.19 16:36:52,15.33,100.13,236.96,130.65,128.27,237.74,114.08,105.75,118.45,153.14,235.42,147.9,137.85,235.42,118.11,75.76,134.42,96.51,146.16,162.3,110.07,143.03,158.41,149.29,133.73,,18,968,29,18.61,
23.07.19 16:37:07,15.58,99.14,236.19,129.97,126.9,236.96,113.08,104.42,117.1,153.14,235.42,147.55,136.82,235.04,116.43,75.12,134.07,95.85,146.16,161.24,109.4,144.07,157,148.59,133.05,,18,968,29,18.64,
23.07.19 16:37:22,15.83,98.15,235.81,129.29,126.22,237.35,112.07,103.76,115.76,152.79,235.04,146.5,136.13,234.65,115.09,74.48,133.39,94.87,145.46,160.18,108.41,144.07,156.3,148.24,132.36,,18,968,29,18.64,
23.07.19 16:37:37,16.08,98.15,236.58,128.95,125.88,237.74,112.07,103.76,115.09,153.49,235.42,146.16,135.1,235.04,115.76,74.16,132.7,93.56,145.81,159.47,108.07,140.27,155.95,147.9,132.02,,18,968,29,18.64,
23.07.19 16:37:52,16.33,96.84,236.19,128.61,123.85,236.58,111.74,103.43,113.75,153.14,235.04,145.81,133.05,234.65,113.75,72.88,132.02,92.58,145.11,158.41,107.41,142.69,155.24,146.5,131.68,,18,968,29,18.64,
23.07.19 16:38:07,16.58,96.18,236.58,128.27,123.17,236.96,112.07,103.43,113.08,153.84,235.04,146.16,132.36,234.65,113.75,72.56,130.65,91.28,144.07,157.35,107.08,142.69,154.89,145.46,130.99,,18,968,29,18.64,
23.07.19 16:38:22,16.83,95.53,236.58,127.58,122.16,237.35,111.07,103.1,112.07,153.49,235.04,145.81,131.68,234.27,114.42,72.56,128.95,90.95,143.03,155.95,106.08,139.92,154.54,144.77,130.31,,18,968,29,18.63,
23.07.19 16:38:37,17.08,94.54,236.19,126.9,120.81,237.74,110.74,102.11,111.41,153.14,234.65,145.81,130.99,234.27,114.75,71.61,128.27,90.3,142.34,155.24,105.08,138.54,154.19,143.38,129.97,,18,968,29,18.64,
23.07.19 16:38:52,17.33,94.54,236.19,125.88,119.12,237.74,110.4,101.45,111.41,153.49,235.04,146.85,130.31,234.27,115.42,70.97,126.9,89.65,140.96,154.54,103.43,140.27,154.19,142.69,129.63,,18,968,29,18.64,
23.07.19 16:39:07,17.58,93.89,236.96,125.55,117.77,238.51,110.4,99.8,111.07,152.44,235.04,146.5,129.97,234.65,112.74,70.65,125.55,89,139.92,153.49,102.44,140.61,153.84,141.99,129.63,,18,968,29,18.64,
23.07.19 16:39:22,17.83,93.23,236.58,124.87,116.76,238.12,110.4,98.15,110.07,151.74,234.27,146.16,128.27,234.27,110.4,69.38,123.85,88.02,139.23,152.09,101.78,138.89,153.14,142.34,128.27,,18,968,29,18.64,
23.07.19 16:39:37,18.08,91.93,235.81,124.19,116.09,237.74,110.07,96.51,108.41,150.69,234.65,146.16,127.92,233.88,109.4,67.47,122.16,87.05,138.54,151.39,101.45,136.48,152.79,142.69,127.58,,18,968,29,18.64,
23.07.19 16:39:52,18.33,91.6,236.58,123.85,115.09,237.74,110.07,96.51,107.41,150.69,235.04,146.16,126.22,234.27,108.74,66.52,121.82,86.72,138.2,151.39,100.46,139.23,152.09,141.65,127.24,,18,968,29,18.65,
23.07.19 16:40:08,18.6,90.95,235.81,122.83,113.41,236.96,107.74,96.18,105.75,149.64,235.04,145.81,124.87,233.88,108.41,65.25,120.81,85.75,137.85,150.34,98.48,138.89,151.74,140.96,126.22,,18,968,29,18.64,
23.07.19 16:40:23,18.85,89.65,235.81,122.16,111.41,237.35,106.41,93.89,104.42,149.64,233.88,145.46,123.51,233.5,107.74,64.62,120.13,84.78,136.82,149.99,97.17,136.48,151.04,140.61,125.55,,18,968,29,18.64,
23.07.19 16:40:38,19.1,89.32,236.19,122.16,110.07,237.74,106.74,93.56,104.09,149.99,234.65,146.5,123.17,234.27,106.74,63.67,120.13,84.45,136.82,149.64,96.18,134.42,150.34,140.61,125.21,,18,968,29,18.64,
23.07.19 16:40:53,19.35,87.05,235.81,121.48,107.74,236.96,106.74,92.58,102.11,149.29,234.65,145.46,121.82,233.5,106.08,62.73,118.78,82.84,136.13,148.59,95.53,136.82,148.94,139.92,123.51,,18,968,29,18.64,
23.07.19 16:41:08,19.6,87.37,235.81,120.81,106.74,237.74,107.41,93.56,101.12,148.94,234.65,146.16,121.48,233.88,105.42,61.78,118.78,82.51,135.79,148.24,94.87,137.51,147.9,140.27,123.51,,18,968,29,18.64,
23.07.19 16:41:23,19.85,85.42,236.19,120.13,104.75,236.96,107.74,91.93,99.47,147.9,234.65,145.81,121.48,233.88,104.42,60.52,118.45,81.87,135.1,146.5,93.56,133.73,147.2,139.23,122.5,,18,968,29,18.64,
23.07.19 16:41:38,20.1,84.78,236.19,119.12,102.77,236.96,108.07,90.95,98.15,146.5,234.27,145.46,120.47,233.5,103.43,58.95,118.11,80.58,134.76,144.07,92.58,133.73,146.5,138.54,121.14,,18,968,29,18.64,
23.07.19 16:41:53,20.35,83.81,235.81,118.78,100.13,236.58,107.74,91.28,96.84,146.5,234.65,145.46,119.79,233.5,103.76,58.01,117.44,79.93,134.76,143.03,92.25,135.1,146.16,138.89,120.47,,18,968,29,18.64,
23.07.19 16:42:08,20.6,83.16,235.81,118.45,98.81,236.96,108.41,90.62,96.18,146.5,234.65,145.46,119.79,233.5,103.76,56.13,117.44,79.29,134.07,141.3,91.6,133.05,146.16,138.54,119.79,,18,968,29,18.64,
23.07.19 16:42:23,20.85,82.19,236.19,116.76,97.82,236.19,108.07,90.3,94.87,145.11,234.65,145.46,118.78,233.11,104.42,54.88,116.43,78.01,133.39,140.61,89.97,131.34,145.46,138.54,119.12,,18,968,29,18.64,
23.07.19 16:42:38,21.1,80.9,236.19,115.76,97.17,237.35,107.41,88.67,93.89,144.77,234.65,145.11,118.45,233.88,104.75,53.63,116.09,77.36,133.05,139.58,89.65,129.97,145.46,138.2,118.45,,18,968,29,18.64,
23.07.19 16:42:53,21.35,79.93,236.19,112.74,97.17,236.58,107.41,87.37,92.25,144.42,234.27,144.77,118.11,233.5,104.75,52.38,115.09,76.72,132.36,138.54,88.02,132.02,144.77,138.2,117.44,,18,968,29,18.64,
23.07.19 16:43:08,21.6,79.61,236.19,109.4,96.84,236.96,106.74,86.07,91.93,144.77,234.27,145.11,117.77,233.11,104.75,50.2,114.42,76.4,132.36,137.51,87.37,129.29,144.07,137.51,116.76,,18,968,29,18.64,
23.07.19 16:43:23,21.85,78.33,236.58,108.41,96.51,236.58,106.08,86.07,91.6,143.38,234.27,145.11,116.43,233.5,104.09,48.65,114.42,75.44,131.68,136.48,87.37,128.27,144.07,136.82,115.76,,18,968,29,18.64,
23.07.19 16:43:38,22.1,77.68,235.81,107.74,96.84,236.96,104.42,85.1,91.6,143.03,234.65,145.11,116.43,232.73,104.42,48.03,113.75,74.8,131.68,136.13,86.72,128.95,143.73,136.13,115.09,,18,968,29,18.64,
23.07.19 16:43:53,22.35,77.04,236.19,107.08,96.51,236.58,104.09,84.78,91.6,141.99,234.27,145.46,116.09,233.88,103.76,46.79,113.41,73.84,131.34,135.1,86.07,132.02,143.38,136.13,114.75,,18,968,29,18.65,
23.07.19 16:44:08,22.6,76.08,236.19,106.74,95.85,235.81,103.1,83.48,91.28,141.3,234.27,145.46,115.42,233.11,102.44,45.86,112.41,73.2,130.99,134.76,86.07,128.27,142.69,135.1,113.75,,18,968,29,18.64,
23.07.19 16:44:23,22.85,74.8,235.81,106.41,95.53,236.58,103.1,82.84,90.95,140.61,234.27,144.77,114.42,233.11,100.79,44.31,112.07,72.56,130.99,135.1,86.07,127.92,141.99,134.76,113.08,,18,968,29,18.64,
23.07.19 16:44:38,23.1,74.48,236.19,106.08,94.54,236.96,103.43,82.19,91.28,140.61,234.27,145.46,113.75,232.73,100.79,43.39,111.74,71.93,130.31,135.1,85.75,132.36,141.65,134.42,112.74,,18,968,29,18.64,
23.07.19 16:44:53,23.35,73.2,235.81,105.42,92.91,235.81,103.43,81.22,90.62,139.92,233.88,144.42,113.08,232.73,100.79,41.85,111.41,70.97,129.63,135.1,85.1,128.61,140.96,134.07,112.07,,18,968,29,18.64,
23.07.19 16:45:08,23.6,72.88,234.65,105.08,93.56,236.96,104.09,79.61,90.3,138.89,233.88,143.73,112.74,233.11,100.79,41.23,110.74,70.65,128.95,134.07,84.45,127.58,139.92,133.05,111.07,,18,968,29,18.64,
23.07.19 16:45:23,23.85,72.56,236.19,105.42,93.23,236.96,103.43,79.61,90.3,139.58,234.27,144.42,112.74,233.5,101.45,40.62,111.41,70.33,129.63,134.76,84.78,129.63,139.23,133.39,111.07,,18,968,29,18.65,
23.07.19 16:45:38,24.1,70.97,235.81,105.08,91.6,236.58,101.45,78.33,89.32,138.89,233.5,144.42,112.41,232.73,101.12,39.69,110.74,70.01,129.29,134.42,83.81,128.27,138.54,132.7,110.07,,18,968,29,18.65,
23.07.19 16:45:53,24.35,70.33,235.81,104.75,91.28,237.74,99.8,77.04,88.34,138.54,234.65,144.77,112.41,233.5,100.46,39.69,110.4,69.7,128.61,134.07,83.81,129.63,137.51,133.39,109.4,,18,968,29,18.65,
23.07.19 16:46:08,24.6,69.06,235.81,104.42,89.97,238.12,98.81,75.76,88.02,139.58,234.27,143.38,112.41,233.5,100.13,39.08,109.07,69.06,127.58,134.07,82.84,129.97,136.48,132.36,108.41,,18,968,29,18.64,
23.07.19 16:46:24,24.87,68.42,235.81,103.76,89.65,236.19,97.82,74.8,87.69,138.89,233.88,143.38,112.74,233.11,99.14,39.39,108.07,68.42,126.56,133.39,80.9,129.97,135.79,132.36,107.41,,18,968,29,18.64,
23.07.19 16:46:39,25.12,68.11,236.19,103.43,89.97,236.96,96.84,73.84,87.69,138.2,233.88,143.03,112.41,232.73,99.47,39.08,107.74,67.79,126.22,133.39,80.58,126.9,135.45,132.36,106.74,,18,968,29,18.64,
