x.val,y.val,treat
1.00,3.8,AHSA
1.00,3.8,AHSM
1.00,4,AHMA
1.00,4,AHMM
1.00,4.2,AHAA
1.00,4.2,AHAM
1.00,9.8,EHSA
1.00,9.8,EHSM
1.00,10,EHMA
1.00,10,EHMM
1.00,10.2,EHAA
1.00,10.2,EHAM
1.48,3.8,AHSA
1.48,3.8,AHSM
1.48,4,AHMA
1.48,4,AHMM
1.48,4.2,AHAA
1.48,4.2,AHAM
1.48,9.8,EHSA
1.48,9.8,EHSM
1.48,10,EHMA
1.48,10,EHMM
1.48,10.2,EHAA
1.48,10.2,EHAM
1.52,2,AHSA
1.52,2,AHSM
1.52,4,AHMA
1.52,4,AHMM
1.52,6,AHAA
1.52,6,AHAM
1.52,8,EHSA
1.52,8,EHSM
1.52,10,EHMA
1.52,10,EHMM
1.52,12,EHAA
1.52,12,EHAM
2.00,2,AHSA
2.00,2,AHSM
2.00,4,AHMA
2.00,4,AHMM
2.00,6,AHAA
2.00,6,AHAM
2.00,8,EHSA
2.00,8,EHSM
2.00,10,EHMA
2.00,10,EHMM
2.00,12,EHAA
2.00,12,EHAM
3.00,6.4,AHSA
3.00,6.4,AHSM
3.00,6.6,AHMA
3.00,6.6,AHMM
3.00,6.8,AHAA
3.00,6.8,AHAM
3.00,7.2,EHSA
3.00,7.2,EHSM
3.00,7.4,EHMA
3.00,7.4,EHMM
3.00,7.6,EHAA
3.00,7.6,EHAM
4.00,1.5,AHSM
4.00,2.5,AHSA
4.00,3.5,AHMM
4.00,4.5,AHMA
4.00,5.5,AHAM
4.00,6.5,AHAA
4.00,7.5,EHSM
4.00,8.5,EHSA
4.00,9.5,EHMM
4.00,10.5,EHMA
4.00,11.5,EHAM
4.00,12.5,EHAA
2.48,2,AHSA
2.48,2,AHSM
2.48,4,AHMA
2.48,4,AHMM
2.48,6,AHAA
2.48,6,AHAM
2.48,8,EHSA
2.48,8,EHSM
2.48,10,EHMA
2.48,10,EHMM
2.48,12,EHAA
2.48,12,EHAM
2.52,6.4,AHSA
2.52,6.4,AHSM
2.52,6.6,AHMA
2.52,6.6,AHMM
2.52,6.8,AHAA
2.52,6.8,AHAM
2.52,7.2,EHSA
2.52,7.2,EHSM
2.52,7.4,EHMA
2.52,7.4,EHMM
2.52,7.6,EHAA
2.52,7.6,EHAM
3.52,2,AHSA
3.52,2,AHSM
3.52,4,AHMA
3.52,4,AHMM
3.52,6,AHAA
3.52,6,AHAM
3.52,8,EHSA
3.52,8,EHSM
3.52,10,EHMA
3.52,10,EHMM
3.52,12,EHAA
3.52,12,EHAM
3.48,6.4,AHSA
3.48,6.4,AHSM
3.48,6.6,AHMA
3.48,6.6,AHMM
3.48,6.8,AHAA
3.48,6.8,AHAM
3.48,7.2,EHSA
3.48,7.2,EHSM
3.48,7.4,EHMA
3.48,7.4,EHMM
3.48,7.6,EHAA
3.48,7.6,EHAM
3.60,1.5,AHSM
3.60,2.5,AHSA
3.60,3.5,AHMM
3.60,4.5,AHMA
3.60,5.5,AHAM
3.60,6.5,AHAA
3.60,7.5,EHSM
3.60,8.5,EHSA
3.60,9.5,EHMM
3.60,10.5,EHMA
3.60,11.5,EHAM
3.60,12.5,EHAA
4.50,2.5,AHSA
4.50,3.5,AHMM
4.50,4.5,AHMA
4.50,5.5,AHAM
4.50,6.5,AHAA
4.50,7.5,EHSM
4.50,8.5,EHSA
4.50,9.5,EHMM
4.50,10.5,EHMA
4.50,11.5,EHAM
4.50,12.5,EHAA
4.50,1.5,AHSM
